,DateTime,Open,Close,High,Low,Volume
898,2022-10-31 22:58:00,102.33,102.31,102.33,102.31,4
899,2022-10-31 22:59:00,102.3,102.26,102.3,102.26,5
900,2022-10-31 23:00:00,102.27,102.25,102.27,102.25,11
901,2022-10-31 23:01:00,102.27,102.36,102.36,102.26,26
902,2022-10-31 23:02:00,102.36,102.36,102.36,102.36,0
903,2022-10-31 23:03:00,102.36,102.36,102.36,102.36,0
904,2022-10-31 23:04:00,102.43,102.44,102.44,102.43,2
905,2022-10-31 23:05:00,102.51,102.52,102.52,102.51,10
906,2022-10-31 23:06:00,102.52,102.5,102.52,102.5,5
907,2022-10-31 23:07:00,102.5,102.55,102.55,102.5,34
908,2022-10-31 23:08:00,102.48,102.55,102.55,102.48,6
909,2022-10-31 23:09:00,102.55,102.55,102.55,102.55,0
910,2022-10-31 23:10:00,102.49,102.5,102.5,102.49,5
911,2022-10-31 23:11:00,102.46,102.45,102.46,102.45,10
912,2022-10-31 23:12:00,102.45,102.45,102.45,102.45,2
913,2022-10-31 23:13:00,102.45,102.45,102.45,102.45,0
914,2022-10-31 23:14:00,102.45,102.45,102.45,102.45,0
915,2022-10-31 23:15:00,102.45,102.5,102.5,102.45,8
916,2022-10-31 23:16:00,102.5,102.5,102.5,102.5,0
917,2022-10-31 23:17:00,102.5,102.5,102.5,102.5,3
918,2022-10-31 23:18:00,102.4,102.4,102.4,102.4,1
919,2022-10-31 23:19:00,102.4,102.4,102.4,102.4,3
920,2022-10-31 23:20:00,102.4,102.4,102.4,102.4,0
921,2022-10-31 23:21:00,102.43,102.42,102.43,102.42,2
922,2022-10-31 23:22:00,102.42,102.42,102.42,102.42,0
923,2022-10-31 23:23:00,102.42,102.42,102.42,102.42,5
924,2022-10-31 23:24:00,102.42,102.42,102.42,102.42,0
925,2022-10-31 23:25:00,102.43,102.45,102.45,102.43,15
926,2022-10-31 23:26:00,102.45,102.45,102.45,102.45,0
927,2022-10-31 23:27:00,102.45,102.44,102.45,102.44,3
928,2022-10-31 23:28:00,102.44,102.44,102.45,102.44,8
929,2022-10-31 23:29:00,102.46,102.46,102.46,102.46,9
930,2022-10-31 23:30:00,102.49,102.46,102.49,102.46,5
931,2022-10-31 23:31:00,102.45,102.45,102.45,102.45,1
932,2022-10-31 23:32:00,102.42,102.43,102.43,102.42,7
933,2022-10-31 23:33:00,102.42,102.42,102.42,102.42,1
934,2022-10-31 23:34:00,102.43,102.42,102.43,102.42,8
935,2022-10-31 23:35:00,102.42,102.5,102.5,102.42,12
936,2022-10-31 23:36:00,102.48,102.39,102.48,102.39,5
937,2022-10-31 23:37:00,102.36,102.34,102.36,102.34,10
938,2022-10-31 23:38:00,102.35,102.35,102.35,102.35,1
939,2022-10-31 23:39:00,102.43,102.32,102.43,102.32,3
940,2022-10-31 23:40:00,102.32,102.32,102.32,102.32,0
941,2022-10-31 23:41:00,102.32,102.32,102.32,102.32,0
942,2022-10-31 23:42:00,102.32,102.31,102.32,102.31,8
943,2022-10-31 23:43:00,102.3,102.3,102.3,102.3,1
944,2022-10-31 23:44:00,102.3,102.3,102.3,102.3,0
945,2022-10-31 23:45:00,102.38,102.38,102.38,102.38,13
946,2022-10-31 23:46:00,102.32,102.38,102.38,102.32,18
947,2022-10-31 23:47:00,102.36,102.36,102.36,102.36,3
948,2022-10-31 23:48:00,102.32,102.32,102.36,102.32,18
949,2022-10-31 23:49:00,102.32,102.28,102.32,102.28,4
950,2022-10-31 23:50:00,102.28,102.3,102.3,102.28,6
951,2022-10-31 23:51:00,102.32,102.3,102.32,102.28,11
952,2022-10-31 23:52:00,102.32,102.32,102.32,102.32,12
953,2022-10-31 23:53:00,102.33,102.38,102.38,102.26,21
954,2022-10-31 23:54:00,102.38,102.38,102.38,102.38,0
955,2022-10-31 23:55:00,102.37,102.4,102.4,102.37,22
956,2022-10-31 23:56:00,102.4,102.38,102.4,102.36,10
957,2022-10-31 23:57:00,102.36,102.36,102.37,102.36,15
958,2022-10-31 23:58:00,102.36,102.36,102.4,102.36,13
959,2022-10-31 23:59:00,102.4,102.38,102.42,102.38,33
960,2022-11-01 08:00:00,103.01,103.18,103.18,102.75,22
961,2022-11-01 08:01:00,103.0,103.0,103.0,103.0,3
962,2022-11-01 08:02:00,102.98,103.18,103.18,102.98,20
963,2022-11-01 08:03:00,103.27,103.3,103.3,103.27,3
964,2022-11-01 08:04:00,103.31,103.39,103.4,103.3,15
965,2022-11-01 08:05:00,103.4,103.5,103.5,103.4,9
966,2022-11-01 08:06:00,103.59,103.6,103.6,103.59,8
967,2022-11-01 08:07:00,103.6,103.6,103.6,103.6,5
968,2022-11-01 08:08:00,103.53,103.55,103.55,103.53,9
969,2022-11-01 08:09:00,103.55,103.55,103.55,103.55,0
970,2022-11-01 08:10:00,103.5,103.5,103.5,103.5,3
971,2022-11-01 08:11:00,103.5,103.5,103.5,103.5,0
972,2022-11-01 08:12:00,103.5,103.51,103.51,103.5,8
973,2022-11-01 08:13:00,103.51,103.51,103.51,103.51,0
974,2022-11-01 08:14:00,103.55,103.6,103.6,103.55,3
975,2022-11-01 08:15:00,103.58,103.6,103.6,103.58,11
976,2022-11-01 08:16:00,103.61,103.55,103.63,103.55,56
977,2022-11-01 08:17:00,103.55,103.55,103.55,103.55,1
978,2022-11-01 08:18:00,103.54,103.55,103.55,103.54,10
979,2022-11-01 08:19:00,103.55,103.55,103.55,103.55,0
980,2022-11-01 08:20:00,103.55,103.55,103.55,103.55,0
981,2022-11-01 08:21:00,103.55,103.55,103.55,103.55,0
982,2022-11-01 08:22:00,103.54,103.58,103.6,103.54,14
983,2022-11-01 08:23:00,103.58,103.58,103.58,103.58,19
984,2022-11-01 08:24:00,103.44,103.44,103.44,103.44,3
985,2022-11-01 08:25:00,103.5,103.5,103.5,103.5,1
986,2022-11-01 08:26:00,103.5,103.5,103.5,103.5,0
987,2022-11-01 08:27:00,103.5,103.5,103.5,103.5,0
988,2022-11-01 08:28:00,103.5,103.5,103.5,103.5,0
989,2022-11-01 08:29:00,103.5,103.5,103.5,103.5,0
990,2022-11-01 08:30:00,103.53,103.52,103.53,103.52,2
991,2022-11-01 08:31:00,103.52,103.52,103.52,103.52,0
992,2022-11-01 08:32:00,103.51,103.51,103.51,103.51,4
993,2022-11-01 08:33:00,103.51,103.5,103.51,103.5,6
994,2022-11-01 08:34:00,103.5,103.5,103.5,103.49,7
995,2022-11-01 08:35:00,103.5,103.5,103.5,103.5,7
996,2022-11-01 08:36:00,103.48,103.5,103.5,103.48,4
997,2022-11-01 08:37:00,103.5,103.5,103.5,103.5,1
998,2022-11-01 08:38:00,103.5,103.5,103.5,103.5,0
999,2022-11-01 08:39:00,103.5,103.5,103.5,103.5,0
1000,2022-11-01 08:40:00,103.5,103.5,103.5,103.5,0
1001,2022-11-01 08:41:00,103.5,103.5,103.5,103.5,0
1002,2022-11-01 08:42:00,103.5,103.5,103.5,103.5,0
1003,2022-11-01 08:43:00,103.5,103.5,103.5,103.5,0
1004,2022-11-01 08:44:00,103.5,103.5,103.5,103.5,0
1005,2022-11-01 08:45:00,103.5,103.5,103.5,103.5,0
1006,2022-11-01 08:46:00,103.5,103.5,103.5,103.5,0
1007,2022-11-01 08:47:00,103.5,103.5,103.5,103.5,0
1008,2022-11-01 08:48:00,103.56,103.47,103.57,103.47,6
1009,2022-11-01 08:49:00,103.47,103.47,103.47,103.47,0
1010,2022-11-01 08:50:00,103.47,103.47,103.47,103.47,0
1011,2022-11-01 08:51:00,103.5,103.5,103.5,103.5,1
1012,2022-11-01 08:52:00,103.5,103.5,103.5,103.5,0
1013,2022-11-01 08:53:00,103.5,103.5,103.5,103.5,0
1014,2022-11-01 08:54:00,103.5,103.5,103.5,103.5,0
1015,2022-11-01 08:55:00,103.5,103.5,103.5,103.5,0
1016,2022-11-01 08:56:00,103.5,103.5,103.5,103.5,0
1017,2022-11-01 08:57:00,103.5,103.5,103.5,103.5,0
1018,2022-11-01 08:58:00,103.5,103.5,103.5,103.5,0
1019,2022-11-01 08:59:00,103.5,103.5,103.5,103.5,0
